published_year,crossref_type,code,name,total,avg_score,count_oa,count_gold,count_green,count_bronze,count_hybrid,count_doaj,count_diamond,count_green_only,count_green_only_ignoring_bronze,count_cc_licensed,mean_citations,mean_citations2y
2021,reference-entry,en,English,13453,0.7175988305761872,5973,5870,112,1,5785,85,0,102,102,5882,1.2488888888888892,1.1866666666666663
2021,component,en,English,46090,0.6840004019992075,15830,260,796,15433,260,0,0,137,794,282,1.1538461538461542,1.1398601398601393
2021,proceedings,en,English,3682,0.6880974658885805,531,219,78,269,219,0,0,43,63,235,1.0769230769230769,1.0769230769230769
2021,posted-content,eo,Esperanto,1,0.28956395387649536,0,0,0,0,0,0,0,0,0,0,,
2021,other,eo,Esperanto,5,0.43271103501319885,1,0,1,1,0,0,0,0,1,0,,
2021,proceedings-article,eo,Esperanto,1,0.19389577209949493,0,0,0,0,0,0,0,0,0,0,,
2021,journal-issue,eo,Esperanto,1,0.13839757442474365,1,1,0,0,1,0,0,0,0,1,,
2021,book-chapter,eo,Esperanto,268,0.3860219878269663,7,4,0,3,4,0,0,0,0,4,,
2021,reference-entry,eo,Esperanto,14,0.37644754882369724,11,11,0,0,11,0,0,0,0,11,,
2021,component,eo,Esperanto,1,0.6713312864303589,0,0,0,0,0,0,0,0,0,0,,
2021,dataset,eo,Esperanto,253,0.27388935106191714,249,249,0,0,249,0,0,0,0,249,,
2021,monograph,eo,Esperanto,1,0.22550968825817108,0,0,0,0,0,0,0,0,0,0,,
2021,journal-article,eo,Esperanto,298,0.2199595488557879,199,60,21,135,38,22,20,4,12,60,1.8571428571428572,1.8571428571428572
2021,book,eo,Esperanto,5,0.45566184520721437,0,0,0,0,0,0,0,0,0,0,2.0,2.0
2021,report,eo,Esperanto,3,0.742138683795929,0,0,0,0,0,0,0,0,0,0,,
2021,reference-entry,et,Estonian,10,0.3483928442001343,9,9,0,0,9,0,0,0,0,9,,
2021,journal-article,et,Estonian,178,0.7711768655964496,126,71,7,54,3,68,64,1,1,71,,
2021,posted-content,et,Estonian,3,0.25164881348609924,2,0,2,0,0,0,0,2,2,0,,
2021,peer-review,et,Estonian,1,0.23595763742923737,1,1,0,0,1,0,0,0,0,1,,
2021,proceedings-article,et,Estonian,3,0.1826970229546229,3,2,0,1,2,0,0,0,0,2,,
2021,other,et,Estonian,4,0.4646756574511528,0,0,0,0,0,0,0,0,0,0,,
2021,book,et,Estonian,2,0.22201158106327057,0,0,0,0,0,0,0,0,0,0,,
2021,monograph,et,Estonian,4,0.471316933631897,0,0,0,0,0,0,0,0,0,0,,
2021,journal-issue,et,Estonian,1,0.97565758228302,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,et,Estonian,210,0.4553959168848538,8,7,0,1,7,0,0,0,0,7,1.0,1.0
2021,posted-content,fi,Finnish,2,0.6343419849872589,0,0,0,0,0,0,0,0,0,0,,
2021,peer-review,fi,Finnish,1,0.3086901009082794,1,0,0,1,0,0,0,0,0,0,,
2021,journal-issue,fi,Finnish,4,0.79942686855793,0,0,0,0,0,0,0,0,0,0,,
2021,report,fi,Finnish,3,0.45995086431503296,0,0,0,0,0,0,0,0,0,0,,
2021,monograph,fi,Finnish,19,0.762126749283389,12,8,3,3,8,0,0,1,1,9,4.0,4.0
2021,book-chapter,fi,Finnish,482,0.41894629436904457,19,15,4,2,15,0,0,2,2,17,1.0,1.0
2021,journal-article,fi,Finnish,1529,0.8447784407026553,1172,718,340,435,295,423,417,19,108,722,1.291666666666667,1.291666666666667
2021,book,fi,Finnish,29,0.8134331477099451,6,4,3,0,4,0,0,2,2,5,,
2021,proceedings-article,fi,Finnish,11,0.22471331263130362,9,3,1,5,3,0,0,1,1,3,,
2021,other,fi,Finnish,15,0.2715282291173935,0,0,0,0,0,0,0,0,0,0,1.6666666666666665,1.6666666666666665
2021,book-part,fi,Finnish,1,0.39753204584121704,0,0,0,0,0,0,0,0,0,0,,
2021,reference-entry,fi,Finnish,16,0.3839914053678512,14,14,0,0,14,0,0,0,0,14,,
2021,component,fi,Finnish,7,0.19655912263052805,0,0,0,0,0,0,0,0,0,0,,
2021,dataset,fi,Finnish,18,0.754736444188489,8,7,1,0,7,0,0,1,1,8,1.0,1.0
2021,dataset,fr,French,411,0.42308355093799954,242,221,0,21,221,0,0,0,0,221,1.0,1.0
2021,reference-book,fr,French,1,0.747596025466919,0,0,0,0,0,0,0,0,0,0,,
2021,proceedings-article,fr,French,99,0.6560144817287271,49,16,17,17,15,1,1,16,17,19,,
2021,book-chapter,fr,French,19954,0.7351446373917823,3092,520,257,2465,466,54,0,107,242,522,1.2285714285714286,1.2190476190476194
2021,report-series,fr,French,55,0.9154679390517149,18,0,2,16,0,0,0,2,2,0,1.6666666666666667,1.6666666666666667
2021,journal-issue,fr,French,98,0.8475103839015473,35,30,1,4,5,25,24,1,1,31,,
